Key,EN,ZH
RED_MEMORY_WEAVERS,"...Show us your craft, child...&lt;page&gt;...Show it splendid, as only we can teach...&lt;page&gt;...Prove yourself more Weaver than Wyrm...",...向我们展示您的手艺，孩子...
CORAL_CRUST_TAB_2,"At water&#8217;s source,&lt;br&gt;And coral&#8217;s heart,&lt;br&gt;Our lord born last to rule.",在水的来源，＆lt; br＆gt;以及珊瑚的心脏，＆lt; br＆gt;我们的主出生于统治。
MEMORY_FIRSTWEAVER_2,...She called us daughters... Called us divine... She lied...,...她叫我们女儿...叫我们神圣...她撒谎...
SILK_HEART_MEMORY_BELLBEAST_01,...Child... Weaver...,...孩子...编织者...
SILK_HEART_MEMORY_WARDBOSS_08,...One mind... One union...,...一个思想...一个联盟...
SILK_HEART_MEMORY_BELLBEAST_02,...Child... Spider...,...孩子...蜘蛛...
RED_MEMORY_ROOT,"...Alas... spider&#8217;s child...&lt;page&gt;...For our ways you will think us harsh... You will think us uncaring, unrepentant...&lt;page&gt;...And so we must seem, for such is the cost of our wish...",... a a spider＆＃8217;是孩子...
SILK_HEART_MEMORY_WARDBOSS_02,...Their memory...,...他们的记忆...
SILK_HEART_MEMORY_WARDBOSS_03,...Bind their shells...,...绑住他们的贝壳...
SILK_HEART_MEMORY_WARDBOSS_01,...Their voices... Their song...,...他们的声音...他们的歌...
SILK_HEART_MEMORY_WARDBOSS_06,...Raise them... Up...,...抚养他们...向上...
SILK_HEART_MEMORY_WARDBOSS_07,...To devote... Eternal...,...奉献...永恒...
SILK_HEART_MEMORY_WARDBOSS_04,...Bind their souls...,...绑有他们的灵魂...
SILK_HEART_MEMORY_WARDBOSS_05,...Bind them all...,...绑住他们全部...
MEMORY_FIRSTWEAVER_1,...She called us daughters... She called us divine...,...她叫我们女儿...她叫我们神圣...
HEART_OUTRO_FLOWER,...We are life... We are growth... What world without us?...,...我们是生活...我们是成长...没有我们的世界？...
SILK_HEART_MEMORY_BELLBEAST_08,...Rise... Rise...,...上升...上升...
SILK_HEART_MEMORY_BELLBEAST_FINAL,"...Come, child... Witness our waking...",...来吧，孩子...见证我们的醒...
RED_MEMORY_HIVE,"...Good... Better...&lt;page&gt;...Yet still you will need to be faster...&lt;page&gt;...In time, they will come for you... Those who fear your nature, and those seeking to claim it...&lt;page&gt;...To survive our world you must learn to sting... swift and sudden...",...好...更好...更好...
HEART_OUTRO_CORAL,...Our claws to crush... Our claws to rule... Our claws to save them all...,...我们要粉碎的爪子...我们的爪子统治...我们的爪子拯救了所有人...
HEART_OUTRO_GREEN_PRINCE,...To dance... And love... And end... Together...,...跳舞...和爱...结束...一起...
WILDS_START_TAB,Pilgrim&lt;br&gt;May these fields of flame sear away all impurity.&lt;br&gt; That you be granted ascendance to the verdant lands above.,朝圣者＆lt; br＆gt;愿这些火焰片消散所有杂质。＆lt; br＆gt;您将被授予上面的翠绿土地上的升级。
SILK_HEART_MEMORY_LACE_1,...Better a child spun mad... than none...,...更好的孩子发疯了...比没有...
MEMORY_NEEDOLIN_1,...Sisters... spiders... our song sustains...,...姐妹...蜘蛛...我们的歌维持...
SILK_HEART_MEMORY_LACE_2,...Better a child spun frail... than none...,...更好的孩子旋转脆弱...比没有...
SILK_HEART_MEMORY_LACE_3,...Better a child spun pure... than them...,...一个孩子比他们更好...比他们...
SILK_HEART_MEMORY_WARDBOSS_FINAL,...They are ours... Bound forever...,...他们是我们的...永远束缚...
MEMORY_NEEDOLIN_2,...For her light... eternal... our song sustains...,...因为她的光...永恒...我们的歌维持...
SILK_HEART_MEMORY_BELLBEAST_07,...We feel it...,...我们感觉到...
MR_MUSH_RIDDLE_TAB,"We speak the wish of the Master Herald,&lt;br&gt;he who signs an Age&#8217;s end.&lt;br&gt;&lt;page&gt;Under chapel fallen to the monarch&#8217;s might,&lt;br&gt;Over camp collapsed to the black thread plight,&lt;page&gt;Scorched field on edge, shells black and burned,&lt;br&gt;Up towers spinning, near the surgeon spurned,&lt;page&gt;Cage of one who raged against the silken lie,&lt;br&gt;Fell heart of frost, who soars on high,&lt;page&gt;Past cradle&#8217;s peak, last test of fitness,&lt;br&gt;That the age may pass, this shroom its witness.","我们说出了《先驱大师的愿望》，“签署年龄的年龄”的结局。burned,&lt;br&gt;Up towers spinning, near the surgeon spurned,&lt;page&gt;Cage of one who raged against the silken lie,&lt;br&gt;Fell heart of frost, who soars on high,&lt;page&gt;Past cradle&#8217;s peak, last test of fitness,&lt;br&gt;That the age may pass, this shroom its证人。"
HEART_OUTRO_ANT,"...How we hunted... How we sang... My children, I saw you glorious...",...我们如何狩猎...我们如何唱歌...我的孩子们，我看到你光荣...
SILK_HEART_MEMORY_LACE_FINAL,...From our Silk... A child born loyal...,...来自我们的丝绸...一个孩子天生的忠诚...
MR_MUSH_TAB_TALK,"&lt;hpage&gt;So, the Herald visits this land too...&lt;hpage&gt;If he is here, now, then great change or a savage end is inevitable. He would care to see nothing else...",＆lt; hpage＆gt;因此，《先驱报》也参观了这片土地...＆lt; hpage＆gt;如果他在这里，现在，巨大的变化或野蛮的结束是不可避免的。他不想看到别的...
