Key,EN,ZH
CREDITS_EXTRA_THANKS,Extra Special Thanks,特别感谢
CREDITS_CHAR_DESIGN_ADDIT_NAME,Makoto Koji,Makoto Koji
CREDITS_TRANSLATE_JAPAN_NAME,Kakehashi Games&lt;br&gt;Ryu Ito,Kakehashi Games＆lt; br＆gt; ryu Ito
CREDITS_UNITY_TECH_SUPPORT_NAME_L,Paul Burslem&lt;br&gt;Attilio Carotenuto&lt;br&gt;Paul Georges,Paul Burslem＆lt; br＆gt; Attilio carotenuto＆lt; br＆gt; Paul Georges
CREDITS_TRANSLATE_JAPAN_BASIC,Japanese,日本人
CREDITS_PROGRAM_ADDIT_NAME,Huy Le,huy le
CREDITS_CHARVOICES_NAMES_R,Anna Lili&lt;br&gt;Monte Masi&lt;br&gt;Lex Pellen&lt;br&gt;Thomas Pellen&lt;br&gt;Victoria Pellen&lt;br&gt;Zara Pellen&lt;br&gt;Ned Rogers&lt;br&gt;Shalulu&lt;br&gt;Peter Yong&lt;br&gt;Benjamin Zarb,Anna Lili＆lt; br＆gt; monte Masi＆lt; br＆gt; lex pellen＆lt;Yong＆lt; br＆gt;本杰明·扎布（Benjamin Zarb）
CREDITS_USS_SPANISH_NAME,Gabriel Pérez-Ayala Huertas&lt;br&gt;Débora Ferroni Avi,GabrielPérez-ayala huertas＆lt; br＆gt;déboraFerroniavi
CREDITS_UNITY_TECH_SUPPORT_NAME_R,Sebastian Hein&lt;br&gt;Kjetil Kalla&lt;br&gt;Karolis Ozerovas,Sebastian Hein＆lt; br＆gt; kjetil kalla＆lt; br＆gt; karolis ozerovas
CREDITS_MUSIC_SINGERS_ADDITIONAL,Additional Singers,其他歌手
CREDITS_MUSIC_SINGERS_ADDITIONAL_NAME_L,Victoria Coxhill&lt;br&gt;Michael Denholm&lt;br&gt;Christian Evans&lt;br&gt;Adam Goodburn&lt;br&gt;Sidonie Henbest&lt;br&gt;Brock Roberts,Victoria Coxhill＆lt; br＆gt; Michael Denholm＆lt; br＆gt; br＆gt; br＆g br＆gt; adam goodburn＆lt; br＆lt; br＆gt; sidonie henbest
CREDITS_SCORE,Sound &amp; Music by,声音＆amp;音乐
CREDITS_TRANSLATE_CHINESE,Chinese Localisation,中国本地化
CREDITS_USS_KOREAN_TITLE,Korean,韩国人
CREDITS_USS_BPORTUGUESE_NAME,Simone Verdi Fronza&lt;br&gt;Cristine Martin&lt;br&gt;Rafael Antunes Dotti,Simone Verdi Fronza＆lt; br＆gt; cristine martin＆lt; br＆gt; rafael antunes dotti dotti
CREDITS_MIC_ENGINEERING_NAME,Lachlan Bramble,Lachlan Bramble
CREDITS_CHARVOICES,Character Voices,角色声音
CREDITS_USS_GERMAN_NAME,Alexander Faisst&lt;br&gt;Christoph Bechtel,Alexander Faisst＆Lt; Br＆Gt; Christoph Bechtel
CREDITS_TEST_LEAD,Testing Leads,测试引线
PERMA_UNLOCK_UNLOCK,Unlocked,解锁
CREDITS_CHAR_DESIGN_ADDIT,Additional Character Design,其他角色设计
CREDITS_TECH_DIRECT,Technical Director,技术主管
PERMA_UNLOCK_BODY,No Reviving. Death is Permanent.&lt;br&gt;The Ultimate Challenge.,没有复兴。死亡是永久的。＆lt; br＆gt;最终挑战。
CREDITS_TEST_LEAD_NAME_R,Benjamin Zarb,本杰明·扎布（Benjamin Zarb）
CREDITS_CHARVOICE_TROBBIO_TITLE,as Trobbio,作为Trobbio
CREDITS_CHARVOICE_LACE_NAME,Mitsuki Hashimoto,Mitsuki Hashimoto
CREDITS_MUSIC_SINGERS,Solo Singers,独奏歌手
CREDITS_MUSIC_EDITING,Additional Audio Editing,其他音频编辑
PERMA_GAME_OVER_CONTINUE,Press any button to continue.,按任何按钮继续。
CREDITS_UNITY_TECH_SUPPORT,Unity Technical Support,团结技术支持
MR_MUSH_CONTINUED,TO BE CONTINUED,待续
CREDITS_TEST_QA_NAME,Nassim &#8220;Simo&#8221; Gebrail&lt;br&gt;Benjamin Zarb,Nassim＆＃8220; Simo＆＃8221;Gebrail＆lt; br＆gt; benjamin Zarb
CREDITS_GAME_BY,a game by,游戏
CREDITS_GAME_BY_NAME,Team Cherry,樱桃队
CREDITS_TEST_LEAD_NAME_L,Nassim &#8220;Simo&#8221; Gebrail,Nassim＆＃8220; Simo＆＃8221;gebrail
CREDITS_THANKS,Special Thanks,特别感谢
CREDITS_ORCHESTRA_TYPESET_MUSIC,Music Orchestration &amp; Typesetting,音乐编排＆amp;排版
CREDITS_TRANSLATE_CHINESE_BASIC,Chinese,中国人
TUTORIAL_CREDIT_NAME_01,Ari Gibson,阿里·吉布森（Ari Gibson）
TUTORIAL_CREDIT_NAME_02,William Pellen,威廉·佩伦（William Pellen）
TUTORIAL_CREDIT_NAME_03,Jack Vine,杰克藤
TUTORIAL_CREDIT_NAME_04,Matthew Griffin,马修·格里芬（Matthew Griffin）
TUTORIAL_CREDIT_NAME_05,Matthew Griffin,马修·格里芬（Matthew Griffin）
CREDITS_USS_KOREAN_NAME,Haejung Lee&lt;br&gt;Inwoo Lee,Haejung Lee＆lt; br＆gt; Inwoo Lee
CREDITS_TESTERS,Playtesters,游戏测试者
TUTORIAL_CREDIT_SCORE,Sound and Score by,声音和得分
CREDITS_MUSIC_SINGERS_NAME,Amelia Holds&lt;br&gt;Jamie Moffatt&lt;br&gt;Siobhan Owen,Amelia Holds＆lt; br＆gt; Jamie Moffatt＆lt; br＆gt; Siobhan Owen
CREDITS_USSPEAKING,Universally Speaking,普遍说话
CREDITS_PROGRAM_ADDIT,Additional Programming,其他编程
CREDITS_USS_RUSSIAN_NAME,Dmitry Usov&lt;br&gt;Yuliia Tatsenko,Dmitry Usov＆lt; br＆gt; Yuliia Tatsenko
CREDITS_CHARVOICES_NAMES_L,Ditte Wad Andersen&lt;br&gt;Adam Atkins&lt;br&gt;Eric Barone&lt;br&gt;Tyler Bartley&lt;br&gt;Beau Fitzgerald&lt;br&gt;Matthew Fitzgerald&lt;br&gt;Nassim &#8220;Simo&#8221; Gebrail&lt;br&gt;Matthew Griffin&lt;br&gt;Lillian Hollitt&lt;br&gt;Lauren Koopowitz,Ditte Wad Andersen＆lt; br＆gt; adam atkins＆lt; br＆gt; eric barone＆lt; br＆gt; tyler bartley＆lt;Gebrail＆lt; matthew Griffin＆lt; br＆gt; lillian Hollitt＆llt; br＆gt; lauren koopowitz
CREDITS_SCORE_NAME,Christopher Larkin,克里斯托弗·拉金（Christopher Larkin）
GAME_COMPLETE_PERCENTAGE,PERCENTAGE,百分比
GAME_COMPLETE_TITLE,GAME COMPLETION,游戏完成
CREDITS_MIC_ENGINEERING,Mics &amp; Engineering Assistance,MICS＆amp;工程协助
CREDITS_THANKS_NAME,Ed Bernard&lt;br&gt;Rohan Fraser&lt;br&gt;Harrison Gibbins&lt;br&gt;David Kazi&lt;br&gt;Lukas Stobie,Ed Bernard＆lt; br＆gt; Rohan Fraser＆lt; br＆gt; harrison gibbins＆lt; br＆gavad; david Kazi＆lt;
CREDITS_CHARVOICES_ADDITIONAL,Additional Character Voices,其他角色声音
CREDITS_CHARVOICE_LACE,Lace,蕾丝
CREDITS_GUITAR,Guitar,吉他
CREDITS_USS_SPANISH_TITLE,Spanish,西班牙语
CREDITS_CHARVOICE_HORNET_NAME,Makoto Koji,Makoto Koji
CREDITS_CONGRATS_BODY,Through the darkness and dangers you perservered. &lt;br&gt;  Thank you for exploring the world of Hollow Knight: Silksong.&lt;br&gt; Let&#8217;s meet again on the road ahead.,通过黑暗和危险，您坚持不懈。＆lt; br＆gt;感谢您探索Hollow Knight的世界：Silksong。＆lt; br＆gt;Leth＃8217;再次在前进的道路上相遇。
CREDITS_MUSIC_STRINGS_NAME_L,Lachlan Bramble&lt;br&gt;Timothy Cheel&lt;br&gt;Linda Garrett&lt;br&gt;Belinda Gehlert,Lachlan Bramble＆lt; br＆gt; timothy cheel＆lt; br＆gt; linda garrett＆lt;
CREDITS_EXTRA_THANKS_TEXT,2158 Kickstarter Backers,2158 Kickstarter支持者
CREDIT_PROGRAM,Systems &amp; Tools Programming,系统＆amp;工具编程
GAME_COMPLETE_TIME,TIME,时间
CREDITS_USS_RUSSIAN_TITLE,Russian,俄语
CREDITS_TRANSLATE_FRENCH,French Localisation,法国本地化
CREDITS_EXTRA_THANKS_SETH_TEXT,&amp;&lt;br&gt;Seth Goldman,＆amp;＆lt; br＆gt; Seth Goldman
TUTORIAL_CREDIT_GAME,a game by,游戏
CREDITS_KNIGHTS_OF_U_SUPPORT,The Knights of U,你的骑士
CREDITS_MUSIC_CREATURE_VOCALS_NAME,Tim Whitt,蒂姆·惠特（Tim Whitt）
CREDITS_SOUND_ASSIST,Additional Atmos,其他大气
CREDITS_LETH,Marketing &amp; Public Relations,营销＆amp;公共关系
CREDITS_CHARVOICE_TROBBIO_NAME,Matthew Trobbiani,马修·特罗比亚尼（Matthew Trobbiani）
CREDITS_SOUND_ASSIST_NAME,Tim Whitt,蒂姆·惠特（Tim Whitt）
CREDITS_MUSIC_CREATURE_VOCALS,Additional Creature Vocal Design,其他生物声音设计
CREDITS_TRANSLATE_FRENCH_BASIC,French,法语
CREDITS_CONGRATS,Congratulations,恭喜
CREDITS_MUSIC_PROD,Music &amp; Sound,音乐＆amp;声音
CREDITS_TRANSLATE_GENERIC,Localisation,本土化
CREDITS_TRANSLATE_FRENCH_NAME,Shalulu,沙卢鲁
CREDITS_TRANSLATE_JAPAN,Japanese Localisation,日本本地化
CREDITS_USS_GERMAN_TITLE,German,德语
CREDITS_MUSIC_WIND_BRASS_NAME_L,Mitch Berick&lt;br&gt;Nathan Cummins&lt;br&gt;Peter Duggan&lt;br&gt;Samantha Hennessy&lt;br&gt;Ed Koltun,Mitch Berick＆lt; br＆gt; nathan Cummins＆lt; br＆gt; peter duggan＆lt; br＆gt; samantha hennessy＆lt;
CREDITS_TRANSLATION,Translation,翻译
CREDITS_MUSIC_STRINGS_NAME_R,Belinda Kendall-Smith&lt;br&gt;Emma Perkins&lt;br&gt;Gemma Phillips,Belinda Kendall-Smith＆lt; br＆gt; Emma Perkins＆lt; br＆gt; Gemma Phillips
PERMA_UNLOCK_TITLE,STEEL SOUL MODE,钢铁灵魂模式
CREDITS_KNIGHTS_OF_U_SUPPORT_NAME,Kamil Kloc&lt;br&gt;Jan Mróz&lt;br&gt;Jakub Augustyniak&lt;br&gt;Karol Fornalczyk,kamil kloc＆lt; br＆gt;janmóz＆lt; br＆gt; jakub austyniak＆lt;
CREDITS_MUSIC_WIND_BRASS_NAME_R,Hannah Kovilpillai&lt;br&gt;Kathryn Moorhead&lt;br&gt;Jackie Newcomb&lt;br&gt;Joshua Oats,Hannah Kovilpillai＆lt; br＆gt; kathryn Moorhead＆lt; br＆gt; jackie newcomb＆lt; br＆gt; joshua oats
PERMA_GAME_OVER_BODY,"In attempting the feat, one proves their courage.&lt;br&gt;May your soul find its rest.",为了尝试这一壮举，人们证明了他们的勇气。
